NAME,PRICE,CUISINES,CITY,REGION,URL,PAGE NO,RESTAURANT_TYPE,TIMING,RATING_TYPE,RATING,VOTES,AREA,PRICE_CATEGORY,RATING_CATEGORY,POPULARITY_CATEGORY,AFFORDABLE_FLAG,WEIGHTED_RATING,VALUE_SCORE,COMBINED_FEATURES
Misal Darbar,250,Maharashtrian,Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/misal-darbar-near-andheri-east-station/info,271,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,11.0,Andheri,Budget,Average,Low Popularity,False,3.58,14.32,misal darbar maharashtrian quick bites budget average low popularity
Waffle  N Shake,350,"Desserts,Beverages",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/waffle-n-shake-versova/info,272,Dessert Parlor,"8am to 12midnight(Mon,Wed,Fri,Sat,Sun),830am...",Good,3.7,36.0,Andheri,Budget,Good,Low Popularity,True,3.63,10.37,"waffle n shake desserts,beverages dessert parlor budget good low popularity"
SweetSmith,400,Desserts,Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/sweetsmith-versova/info,273,Dessert Parlor,930am to 1130pm(Mon-Sun),Good,3.7,215.0,Andheri,Budget,Good,Moderately Popular,True,3.67,9.17,sweetsmith desserts dessert parlor budget good moderately popular
D Light Cake Shop,250,Bakery,Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/d-light-cake-shop-7-bungalows/info,273,Bakery,9am to 12midnight(Mon-Sun),Average,3.3,8.0,Andheri,Budget,Average,Low Popularity,False,3.59,14.36,d light cake shop bakery bakery budget average low popularity
Cafe Kuttanad,300,"Kerala,South Indian",Mumbai,Santacruz East,https://www.zomato.com/mumbai/cafe-kuttanad-1-santacruz-east/info,274,Casual Dining,8am to 11pm(Mon-Sun),Average,3.1,67.0,Santacruz,Budget,Average,Low Popularity,False,3.42,11.4,"cafe kuttanad kerala,south indian casual dining budget average low popularity"
Dhiraj Special Sandwich,250,"Street Food,South Indian",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/dhiraj-special-sandwich-vile-parle-west/info,274,Quick Bites,830am to 11pm(Mon-Sun),Good,3.9,184.0,Vile Parle,Budget,Good,Moderately Popular,True,3.79,15.16,"dhiraj special sandwich street food,south indian quick bites budget good moderately popular"
BakerHer,300,"Bakery,Desserts",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/bakerher-vile-parle-west/info,274,Bakery,9am to 7pm(Mon-Sun),Very Good,4.1,193.0,Vile Parle,Budget,Very Good,Moderately Popular,True,3.92,13.07,"bakerher bakery,desserts bakery budget very good moderately popular"
Diet Café Day,450,"Cafe,Rolls,Sandwich,Burger,Fast Food",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/diet-café-day-versova/info,276,Café,9am to 12midnight(Mon-Sun),Average,3.3,7.0,Andheri,Budget,Average,Low Popularity,False,3.59,7.98,"diet café day cafe,rolls,sandwich,burger,fast food café budget average low popularity"
Flavor It Up,250,"Desserts,Italian,Fast Food",Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/flavor-it-up-1-7-bungalows/info,277,none,"1230pm to 4pm,5pm to 12midnight(Mon-Sun)",Very Good,4.2,39.0,Andheri,Budget,Very Good,Low Popularity,True,3.77,15.08,"flavor it up desserts,italian,fast food none budget very good low popularity"
Sushi And More,700,"Japanese,Sushi",Mumbai,Juhu,https://www.zomato.com/mumbai/sushi-and-more-juhu/info,279,none,12noon to 10pm(Mon-Sun),Good,3.9,117.0,Juhu,Moderate,Good,Moderately Popular,True,3.76,5.37,"sushi and more japanese,sushi none moderate good moderately popular"
Cafe Savera,600,"Mughlai,Chinese,North Indian",Mumbai,Near Andheri West Station,https://www.zomato.com/mumbai/cafe-savera-near-andheri-west-station/info,279,Casual Dining,"7am to 12midnight(Mon,Tue,Wed,Thu,Sat,Sun)...",Average,3.4,96.0,Andheri,Moderate,Average,Low Popularity,False,3.51,5.85,"cafe savera mughlai,chinese,north indian casual dining moderate average low popularity"
Suyog Lunch Home,350,"Malwani,North Indian",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/suyog-lunch-home-near-andheri-east-station/info,279,Quick Bites,"1130am to 330pm,730pm to 1130pm(Mon-Sun)",Good,3.6,45.0,Andheri,Budget,Good,Low Popularity,True,3.61,10.31,"suyog lunch home malwani,north indian quick bites budget good low popularity"
Kake Da Hotel,700,"North Indian,Mughlai",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/kake-da-hotel-pali-hill-bandra-west/info,28,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.1,141.0,Bandra,Moderate,Very Good,Moderately Popular,True,3.89,5.56,"kake da hotel north indian,mughlai casual dining moderate very good moderately popular"
The Happy Chef,800,"Mughlai,North Indian,Chinese,Kebab",Mumbai,Juhu,https://www.zomato.com/mumbai/the-happy-chef-juhu/info,28,none,"1130am to 330pm,7pm to 4am(Mon-Sun)",Very Good,4.3,266.0,Juhu,Moderate,Very Good,Moderately Popular,True,4.1,5.12,"the happy chef mughlai,north indian,chinese,kebab none moderate very good moderately popular"
Pakka Local Bar,1800,"North Indian,Chinese,Italian,Thai,Biryani",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/pakka-local-bar-near-andheri-east-station/info,28,Casual Dining,12noon to 1am(Mon-Sun),Good,3.6,75.0,Andheri,Premium,Good,Low Popularity,False,3.61,2.01,"pakka local bar north indian,chinese,italian,thai,biryani casual dining premium good low popularity"
Mughal Deewan,550,"Mughlai,Chinese,North Indian",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/mughal-deewan-andheri-lokhandwala/info,28,Quick Bites,"1230pm to 4am(Mon,Tue,Wed,Thu,Fri,Sun),11am...",Good,3.8,229.0,Andheri,Moderate,Good,Moderately Popular,True,3.74,6.8,"mughal deewan mughlai,chinese,north indian quick bites moderate good moderately popular"
Occasion Cake Shop,400,"Bakery,Desserts",Mumbai,Santacruz East,https://www.zomato.com/mumbai/occasion-cake-shop-santacruz-east/info,280,Bakery,11am to 11pm(Mon-Sun),Good,3.5,12.0,Santacruz,Budget,Good,Low Popularity,True,3.6,9.0,"occasion cake shop bakery,desserts bakery budget good low popularity"
CookieMon,150,"Bakery,Desserts",Mumbai,Bandra East,https://www.zomato.com/mumbai/cookiemon-1-bandra-east/info,280,Bakery,11am to 10pm(Mon-Sun),Average,3.3,9.0,Bandra,Budget,Average,Low Popularity,False,3.59,23.93,"cookiemon bakery,desserts bakery budget average low popularity"
Shreedevi,550,"South Indian,North Indian,Chinese,Street Food,Beverages",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/shreedevi-vile-parle-west/info,281,Quick Bites,9am to 12midnight(Mon-Sun),Good,3.6,98.0,Vile Parle,Moderate,Good,Low Popularity,True,3.61,6.56,"shreedevi south indian,north indian,chinese,street food,beverages quick bites moderate good low popularity"
Kabeela,800,"Biryani,North Indian,Chinese,Thai",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/kabeela-vile-parle-east/info,281,Casual Dining,"1130am to 330pm,630pm to 12midnight(Mon-Sun)",Good,3.9,217.0,Vile Parle,Moderate,Good,Moderately Popular,True,3.8,4.75,"kabeela biryani,north indian,chinese,thai casual dining moderate good moderately popular"
Bombay Bizare Baker,400,"Desserts,Bakery",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/bombay-bizare-baker-pali-hill-bandra-west/info,281,Dessert Parlor,8am to 8pm(Mon-Sun),Good,3.9,67.0,Bandra,Budget,Good,Low Popularity,True,3.72,9.3,"bombay bizare baker desserts,bakery dessert parlor budget good low popularity"
D'oh Boy,500,"Fast Food,Beverages",Mumbai,Santacruz West,https://www.zomato.com/mumbai/doh-boy-santacruz-west/info,284,Quick Bites,"11am to 11pm(Mon-Sat),1pm to 11pm(Sun)",Good,3.8,35.0,Santacruz,Budget,Good,Low Popularity,True,3.66,7.32,"d'oh boy fast food,beverages quick bites budget good low popularity"
The Tattva Café,600,"Continental,Healthy Food,Juices",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/the-tattva-café-andheri-lokhandwala/info,288,Casual Dining,9am to 12midnight(Mon-Sun),Average,3.4,10.0,Andheri,Moderate,Average,Low Popularity,False,3.59,5.98,"the tattva café continental,healthy food,juices casual dining moderate average low popularity"
Kababchi,700,"Fast Food,North Indian",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/kababchi-pali-hill-bandra-west/info,288,Quick Bites,6pm to 12midnight(Mon-Sun),Good,3.7,29.0,Bandra,Moderate,Good,Low Popularity,True,3.63,5.19,"kababchi fast food,north indian quick bites moderate good low popularity"
Magical Unicorn Brownies,400,"Bakery,Desserts,Fast Food",Mumbai,Near Andheri West Station,https://www.zomato.com/mumbai/magical-unicorn-brownies-near-andheri-west-station/info,289,Quick Bites,9am to 10pm(Mon-Sun),Average,3.3,14.0,Andheri,Budget,Average,Low Popularity,False,3.58,8.95,"magical unicorn brownies bakery,desserts,fast food quick bites budget average low popularity"
Mister Vegan,200,"Ice Cream,Desserts",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/mister-vegan-vile-parle-west/info,289,Dessert Parlor,11am to 11pm(Mon-Sun),Average,3.3,9.0,Vile Parle,Budget,Average,Low Popularity,False,3.59,17.95,"mister vegan ice cream,desserts dessert parlor budget average low popularity"
Pack-A-Pav,500,Street Food,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/pack-a-pav-pali-hill-bandra-west/info,289,none,12noon to 12midnight(Mon-Sun),Very Good,4.2,409.0,Bandra,Budget,Very Good,Moderately Popular,True,4.08,8.16,pack-a-pav street food none budget very good moderately popular
Harish Lunch Home,800,"North Indian,Chinese,Seafood,Biryani",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/harish-lunch-home-vile-parle-west/info,29,Casual Dining,12noon to 1230AM(Mon-Sun),Very Good,4.0,553.0,Vile Parle,Moderate,Very Good,Highly Popular,True,3.94,4.92,"harish lunch home north indian,chinese,seafood,biryani casual dining moderate very good highly popular"
Janata Lunch Home,900,"Chinese,North Indian",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/janata-lunch-home-pali-hill-bandra-west/info,29,Casual Dining,12noon to 1am(Mon-Sun),Good,3.9,997.0,Bandra,Moderate,Good,Highly Popular,True,3.87,4.3,"janata lunch home chinese,north indian casual dining moderate good highly popular"
Go Biryan,600,"Biryani,North Indian,Mughlai",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/go-biryan-andheri-lokhandwala/info,29,Casual Dining,1130am to 330am(Mon-Sun),Very Good,4.2,1613.0,Andheri,Moderate,Very Good,Highly Popular,True,4.16,6.93,"go biryan biryani,north indian,mughlai casual dining moderate very good highly popular"
Caravan Serai,1550,North Indian,Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/caravan-serai-linking-road-bandra-west/info,29,Casual Dining,"1130am to 330pm,7pm to 1am(Mon,Tue,Thu,Fri...",Good,3.9,1541.0,Bandra,Premium,Good,Highly Popular,False,3.88,2.5,caravan serai north indian casual dining premium good highly popular
Sukanya,550,"Chinese,North Indian,Seafood",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/sukanya-near-andheri-east-station/info,290,Casual Dining,1030am to 1230AM(Mon-Sun),Good,3.7,40.0,Andheri,Moderate,Good,Low Popularity,True,3.64,6.62,"sukanya chinese,north indian,seafood casual dining moderate good low popularity"
Prakash Lunch Home,500,"North Indian,Chinese,Mughlai",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/prakash-lunch-home-vile-parle-west/info,291,Casual Dining,1030am to 1am(Mon-Sun),Average,3.3,18.0,Vile Parle,Budget,Average,Low Popularity,False,3.57,7.14,"prakash lunch home north indian,chinese,mughlai casual dining budget average low popularity"
Litti Express Bihari Cuisine,500,Bihari,Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/litti-express-bihari-cuisine-oshiwara/info,291,Quick Bites,12noon to 4am(Mon-Sun),Average,3.4,28.0,Andheri,Budget,Average,Low Popularity,False,3.57,7.14,litti express bihari cuisine bihari quick bites budget average low popularity
Sunny Dhaba,600,"North Indian,Mughlai",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/sunny-dhaba-andheri-lokhandwala/info,291,Casual Dining,11am to 3am(Mon-Sun),Good,3.5,37.0,Andheri,Moderate,Good,Low Popularity,True,3.58,5.97,"sunny dhaba north indian,mughlai casual dining moderate good low popularity"
Origin Bubble Waffles,500,"Desserts,Cafe",Mumbai,Carter Road-- Bandra West,https://www.zomato.com/mumbai/origin-bubble-waffles-1-carter-road-bandra-west/info,291,Dessert Parlor,11am to 1230AM(Mon-Sun),Good,3.8,131.0,Bandra,Budget,Good,Moderately Popular,True,3.71,7.42,"origin bubble waffles desserts,cafe dessert parlor budget good moderately popular"
The Tamarind Tree,600,Chinese,Mumbai,Bandstand-- Bandra West,https://www.zomato.com/mumbai/the-tamarind-tree-bandstand-bandra-west/info,292,Casual Dining,1130am to 130am(Mon-Sun),Good,3.8,183.0,Bandra,Moderate,Good,Moderately Popular,True,3.73,6.22,the tamarind tree chinese casual dining moderate good moderately popular
Hotel Canara,550,"North Indian,Chinese,Seafood",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/hotel-canara-vile-parle-west/info,292,Casual Dining,11am to 1230AM(Mon-Sun),Average,3.4,58.0,Vile Parle,Moderate,Average,Low Popularity,False,3.54,6.44,"hotel canara north indian,chinese,seafood casual dining moderate average low popularity"
Mother Trucker,700,"American,Mexican,Fast Food",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/mother-trucker-versova/info,292,none,130pm to 130am(Mon-Sun),Very Good,4.1,109.0,Andheri,Moderate,Very Good,Moderately Popular,True,3.86,5.51,"mother trucker american,mexican,fast food none moderate very good moderately popular"
ComboNation,500,"North Indian,Mughlai,Chinese",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/combonation-andheri-lokhandwala/info,292,none,"12noon to 330pm,7pm to 4am(Mon-Sun)",Very Good,4.0,259.0,Andheri,Budget,Very Good,Moderately Popular,True,3.88,7.76,"combonation north indian,mughlai,chinese none budget very good moderately popular"
Little China,400,"Chinese,North Indian",Mumbai,Near Andheri West Station,https://www.zomato.com/mumbai/little-china-near-andheri-west-station/info,293,Quick Bites,12noon to 2am(Mon-Sun),Average,3.2,12.0,Andheri,Budget,Average,Low Popularity,False,3.57,8.92,"little china chinese,north indian quick bites budget average low popularity"
Shaan E Darbar,900,"Chinese,North Indian",Mumbai,Bandra Talao-- Bandra West,https://www.zomato.com/mumbai/shaan-e-darbar-bandra-talao-bandra-west/info,293,Casual Dining,8am to 1230AM(Mon-Sun),Average,3.2,19.0,Bandra,Moderate,Average,Low Popularity,False,3.55,3.94,"shaan e darbar chinese,north indian casual dining moderate average low popularity"
High On Tea,600,"Cafe,Tea,Beverages",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/high-on-tea-pali-hill-bandra-west/info,293,Café,12noon to 130am(Mon-Sun),Good,3.8,217.0,Bandra,Moderate,Good,Moderately Popular,True,3.74,6.23,"high on tea cafe,tea,beverages café moderate good moderately popular"
Shanghai Chinese Food,600,"Chinese,Seafood",Mumbai,Vile Parle East,https://www.zomato.com/mumbai/shanghai-chinese-food-vile-parle-east/info,295,Casual Dining,"Closed(Mon),12noon to 3pm,7pm to 1130pm(Tue-Sun)",Good,3.7,262.0,Vile Parle,Moderate,Good,Moderately Popular,True,3.67,6.12,"shanghai chinese food chinese,seafood casual dining moderate good moderately popular"
Guru Kirpa Punjabi Dhaba,600,"North Indian,Chinese,Mughlai",Mumbai,7 Bungalows-- Andheri West,https://www.zomato.com/mumbai/guru-kirpa-punjabi-dhaba-7-bungalows/info,295,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.7,125.0,Andheri,Moderate,Good,Moderately Popular,True,3.66,6.1,"guru kirpa punjabi dhaba north indian,chinese,mughlai casual dining moderate good moderately popular"
Vibe,600,"Healthy Food,Pizza,Sandwich",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/vibe-pali-hill-bandra-west/info,296,none,8am to 12midnight(Mon-Sun),Very Good,4.2,221.0,Bandra,Moderate,Very Good,Moderately Popular,True,4.01,6.68,"vibe healthy food,pizza,sandwich none moderate very good moderately popular"
Huber & Holly,800,"Desserts,Fast Food,Beverages",Mumbai,Juhu,https://www.zomato.com/mumbai/huber-holly-juhu/info,3,Dessert Parlor,11am to 1230AM(Mon-Sun),Very Good,4.4,395.0,Juhu,Moderate,Very Good,Moderately Popular,True,4.23,5.29,"huber & holly desserts,fast food,beverages dessert parlor moderate very good moderately popular"
Smoke House Deli,1400,"European,Italian,Salad,American,Burger,Juices,Healthy Food,Cafe",Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/SmokeHouseDeli-Pali/info,3,Casual Dining,7am to 1am(Mon-Sun),Excellent,4.7,3161.0,Bandra,Expensive,Excellent,Highly Popular,False,4.66,3.33,"smoke house deli european,italian,salad,american,burger,juices,healthy food,cafe casual dining expensive excellent highly popular"
HOP : House of Party,1600,"Finger Food,Continental,Asian,Bar Food,Desserts,Pizza",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/hop-house-of-party-andheri-lokhandwala/info,3,Bar,530pm to 130am(Mon-Sun),Excellent,4.5,1023.0,Andheri,Premium,Excellent,Highly Popular,False,4.41,2.76,"hop : house of party finger food,continental,asian,bar food,desserts,pizza bar premium excellent highly popular"
Jamjar Diner,1500,"American,Mexican,Italian,Burger,Salad,Healthy Food",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/jamjar-diner-versova/info,3,Casual Dining,"12midnight to 1am,9am to 12midnight(Mon-Sun)",Very Good,4.1,4675.0,Andheri,Expensive,Very Good,Highly Popular,False,4.09,2.73,"jamjar diner american,mexican,italian,burger,salad,healthy food casual dining expensive very good highly popular"
Fable,1400,"Italian,American,Salad,Desserts",Mumbai,Juhu,https://www.zomato.com/mumbai/fable-juhu/info,3,Casual Dining,9am to 130am(Mon-Sun),Very Good,4.1,2044.0,Juhu,Expensive,Very Good,Highly Popular,False,4.08,2.91,"fable italian,american,salad,desserts casual dining expensive very good highly popular"
Butter Chicken Factory,800,North Indian,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/butter-chicken-factory-pali-hill-bandra-west/info,3,Casual Dining,"12noon to 359pm,7pm to 12midnight...",Very Good,4.4,2165.0,Bandra,Moderate,Very Good,Highly Popular,True,4.36,5.45,butter chicken factory north indian casual dining moderate very good highly popular
The Fatty Bao,1800,"Japanese,Sushi,Asian",Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/the-fatty-bao-linking-road-bandra-west/info,3,Casual Dining,"12noon to 315pm,7pm to 1145pm,12midnight to ...",Very Good,4.3,1974.0,Bandra,Premium,Very Good,Highly Popular,False,4.26,2.37,"the fatty bao japanese,sushi,asian casual dining premium very good highly popular"
Country Biryani,1000,"Mughlai,North Indian,Chinese,Biryani",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/country-biryani-oshiwara/info,30,Casual Dining,24,Good,3.6,62.0,Andheri,Moderate,Good,Low Popularity,True,3.61,3.61,"country biryani mughlai,north indian,chinese,biryani casual dining moderate good low popularity"
Fire Bowl,700,"Chinese,Seafood",Mumbai,Oshiwara-- Andheri West,https://www.zomato.com/mumbai/fire-bowl-oshiwara/info,30,Casual Dining,1130am to 1230AM(Mon-Sun),Skvělá volba,3.8,743.0,Andheri,Moderate,Good,Highly Popular,True,3.78,5.4,"fire bowl chinese,seafood casual dining moderate good highly popular"
Sip N Snack,1000,Cafe,Mumbai,Hotel Sun n Sand-- Juhu,https://www.zomato.com/mumbai/sip-n-snack-juhu/info,301,Café,10am to 630pm(Mon-Sun),Good,3.7,81.0,Juhu,Moderate,Good,Low Popularity,True,3.65,3.65,sip n snack cafe café moderate good low popularity
Chandu Halwai,200,Mithai,Mumbai,Linking Road-- Bandra West,https://www.zomato.com/mumbai/chandu-halwai-linking-road-bandra-west/info,301,Sweet Shop,8am to 830pm(Mon-Sun),Average,3.4,22.0,Bandra,Budget,Average,Low Popularity,False,3.58,17.9,chandu halwai mithai sweet shop budget average low popularity
Fruitozaa,400,"Juices,Healthy Food,Beverages,Fast Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/fruitozaa-andheri-lokhandwala/info,302,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.2,139.0,Andheri,Budget,Very Good,Moderately Popular,True,3.94,9.85,"fruitozaa juices,healthy food,beverages,fast food quick bites budget very good moderately popular"
Paresh Missal,100,Fast Food,Mumbai,Vile Parle East,https://www.zomato.com/mumbai/paresh-missal-vile-parle-east/info,302,Quick Bites,"8am to 3pm,5pm to 8pm(Mon-Sun)",Good,3.6,59.0,Vile Parle,Budget,Good,Low Popularity,True,3.61,36.1,paresh missal fast food quick bites budget good low popularity
Little Food Daily,600,"Continental,Healthy Food",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/little-food-daily-andheri-lokhandwala/info,303,Quick Bites,11am to 10pm(Mon-Sun),Good,3.8,125.0,Andheri,Moderate,Good,Moderately Popular,True,3.71,6.18,"little food daily continental,healthy food quick bites moderate good moderately popular"
Royal Meals and Hospitality LLP,400,North Indian,Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/royal-meals-and-hospitality-llp-near-andheri-east-station/info,303,none,10am to 830pm(Mon-Sun),Average,3.1,5.0,Andheri,Budget,Average,Low Popularity,False,3.59,8.98,royal meals and hospitality llp north indian none budget average low popularity
Cakes & Bytes,350,"Bakery,Desserts",Mumbai,Bandra East,https://www.zomato.com/mumbai/cakes-bytes-bandra-east/info,305,Dessert Parlor,10am to 12midnight(Mon-Sun),Average,3.2,13.0,Bandra,Budget,Average,Low Popularity,False,3.57,10.2,"cakes & bytes bakery,desserts dessert parlor budget average low popularity"
Maruti Pav Bhaji,250,Fast Food,Mumbai,Vile Parle West,https://www.zomato.com/mumbai/maruti-pav-bhaji-1-vile-parle-west/info,305,Quick Bites,730pm to 12midnight(Mon-Sun),Good,3.7,183.0,Vile Parle,Budget,Good,Moderately Popular,True,3.67,14.68,maruti pav bhaji fast food quick bites budget good moderately popular
Dezzert Adda,300,Desserts,Mumbai,Juhu,https://www.zomato.com/mumbai/dezzert-adda-juhu/info,306,Dessert Parlor,10am to 12midnight(Mon-Sun),Good,3.6,21.0,Juhu,Budget,Good,Low Popularity,True,3.61,12.03,dezzert adda desserts dessert parlor budget good low popularity
Golden Dragon,500,"Burmese,Chinese,Asian,Thai",Mumbai,Bandra East,https://www.zomato.com/mumbai/golden-dragon-bandra-east/info,308,Quick Bites,"1130am to 330pm,630pm to 1130pm(Mon-Sun)",Average,3.3,74.0,Bandra,Budget,Average,Low Popularity,False,3.49,6.98,"golden dragon burmese,chinese,asian,thai quick bites budget average low popularity"
Sai Kripa Bhelpuri House,150,"Fast Food,Street Food",Mumbai,Santacruz East,https://www.zomato.com/mumbai/sai-kripa-bhelpuri-house-santacruz-east/info,308,Quick Bites,9am to 10pm(Mon-Sun),Good,3.6,30.0,Santacruz,Budget,Good,Low Popularity,True,3.61,24.07,"sai kripa bhelpuri house fast food,street food quick bites budget good low popularity"
Diet House,250,Healthy Food,Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/diet-house-near-andheri-east-station/info,308,Quick Bites,10am to 7pm(Mon-Sun),Good,3.5,42.0,Andheri,Budget,Good,Low Popularity,True,3.58,14.32,diet house healthy food quick bites budget good low popularity
The Dessertarian,400,"Bakery,Desserts",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/the-dessertarian-1-hill-road-bandra-west/info,309,Bakery,12noon to 12midnight(Mon-Sun),Very Good,4.0,122.0,Bandra,Budget,Very Good,Moderately Popular,True,3.82,9.55,"the dessertarian bakery,desserts bakery budget very good moderately popular"
Jai Hind Lunch Home,850,"North Indian,Konkan,Seafood",Mumbai,Hill Road-- Bandra West,https://www.zomato.com/mumbai/jai-hind-lunch-home-1-hill-road-bandra-west/info,31,Casual Dining,"1130am to 330pm,730pm to 1245AM(Mon-Sun)",Very Good,4.1,473.0,Bandra,Moderate,Very Good,Moderately Popular,True,4.01,4.72,"jai hind lunch home north indian,konkan,seafood casual dining moderate very good moderately popular"
Prithvi Cafe,700,"Cafe,Fast Food",Mumbai,Juhu,https://www.zomato.com/mumbai/prithvi-cafe-juhu/info,31,Café,1030am to 1030pm(Mon-Sun),Very Good,4.4,8000.0,Juhu,Moderate,Very Good,Highly Popular,True,4.39,6.27,"prithvi cafe cafe,fast food café moderate very good highly popular"
Pappilon,900,"North Indian,South Indian,Chinese,Fast Food",Mumbai,Vile Parle West,https://www.zomato.com/mumbai/pappilon-vile-parle-west/info,31,Casual Dining,9am to 1am(Mon-Sun),Good,3.7,701.0,Vile Parle,Moderate,Good,Highly Popular,True,3.69,4.1,"pappilon north indian,south indian,chinese,fast food casual dining moderate good highly popular"
Giani's,300,"Desserts,Ice Cream,Beverages",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/gianis-andheri-lokhandwala/info,31,Dessert Parlor,12noon to 3am(Mon-Sun),Good,3.9,80.0,Andheri,Budget,Good,Low Popularity,True,3.73,12.43,"giani's desserts,ice cream,beverages dessert parlor budget good low popularity"
Red Pepper Co,500,"Chinese,North Indian,Thai,Seafood",Mumbai,Juhu,https://www.zomato.com/mumbai/red-pepper-co-juhu/info,31,none,"12midnight to 4am,7pm to 12midnight(Mon-Sun)",Good,3.9,105.0,Juhu,Budget,Good,Moderately Popular,True,3.75,7.5,"red pepper co chinese,north indian,thai,seafood none budget good moderately popular"
Nonya,1000,"Asian,Chinese",Mumbai,Near Andheri East Station,https://www.zomato.com/mumbai/nonya-near-andheri-east-station/info,310,Casual Dining,(Mon-Sun),Good,3.8,115.0,Andheri,Moderate,Good,Moderately Popular,True,3.71,3.71,"nonya asian,chinese casual dining moderate good moderately popular"
Pind Da Swad,400,North Indian,Mumbai,Bandra East,https://www.zomato.com/mumbai/pind-da-swad-bandra-east/info,311,none,"11am to 4pm,630pm to 1130pm(Mon-Sun)",Good,3.6,189.0,Bandra,Budget,Good,Moderately Popular,True,3.6,9.0,pind da swad north indian none budget good moderately popular
Vente Pa'Ca,650,"Continental,Chinese,Indian,North Indian,Pub Food,Salad",Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/vente-paca-1-versova/info,311,Casual Dining,"4pm to 130am(Mon,Tue,Wed,Fri,Sat,Sun),4am...",Average,3.3,13.0,Andheri,Moderate,Average,Low Popularity,False,3.58,5.51,"vente pa'ca continental,chinese,indian,north indian,pub food,salad casual dining moderate average low popularity"
Créme De La Créme,500,Desserts,Mumbai,Santacruz West,https://www.zomato.com/mumbai/créme-de-la-créme-1-santacruz-west/info,312,Dessert Parlor,10am to 10pm(Mon-Sun),Average,3.4,12.0,Santacruz,Budget,Average,Low Popularity,False,3.59,7.18,créme de la créme desserts dessert parlor budget average low popularity
Moktu,250,"Tibetan,Fast Food",Mumbai,Infiniti Mall-- Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/moktu-andheri-lokhandwala/info,313,Food Court,11am to 11pm(Mon-Sun),Good,3.7,94.0,Andheri,Budget,Good,Low Popularity,True,3.65,14.6,"moktu tibetan,fast food food court budget good low popularity"
